row,task,episode,metric,value,physics
real-robot(q_current),bottle_cupnoodles_shelf,0,ee_wrist_err_l_m,0.09192815104353426,True
real-robot(q_current),bottle_cupnoodles_shelf,0,ee_wrist_err_l_max_m,0.21544220234532893,True
real-robot(q_current),bottle_cupnoodles_shelf,0,ee_wrist_err_r_m,0.10917969044878773,True
real-robot(q_current),bottle_cupnoodles_shelf,0,ee_wrist_err_r_max_m,0.2830340710262497,True
real-robot(q_current),bottle_cupnoodles_shelf,0,joint_rmse_rad,0.1956600546836853,True
real-robot(q_current),bottle_cupnoodles_shelf,0,joint_maxabs_rad,1.8880305290222168,True
real-robot(q_current),bottle_cupnoodles_shelf,0,physics,True,True
real-robot(q_current),cup_wipe_sponge_dryingrack,2,ee_wrist_err_l_m,0.0736579558385479,True
real-robot(q_current),cup_wipe_sponge_dryingrack,2,ee_wrist_err_l_max_m,0.12435664508898925,True
real-robot(q_current),cup_wipe_sponge_dryingrack,2,ee_wrist_err_r_m,0.08657733943087782,True
real-robot(q_current),cup_wipe_sponge_dryingrack,2,ee_wrist_err_r_max_m,0.1459922806550769,True
real-robot(q_current),cup_wipe_sponge_dryingrack,2,joint_rmse_rad,0.117833212018013,True
real-robot(q_current),cup_wipe_sponge_dryingrack,2,joint_maxabs_rad,0.65915846824646,True
real-robot(q_current),cup_wipe_sponge_dryingrack,2,physics,True,True
real-robot(q_current),floor_box_table,16,ee_wrist_err_l_m,0.23091911333336218,True
real-robot(q_current),floor_box_table,16,ee_wrist_err_l_max_m,0.5094915547460128,True
real-robot(q_current),floor_box_table,16,ee_wrist_err_r_m,0.24418805625308904,True
real-robot(q_current),floor_box_table,16,ee_wrist_err_r_max_m,0.544901717492119,True
real-robot(q_current),floor_box_table,16,joint_rmse_rad,0.2212003618478775,True
real-robot(q_current),floor_box_table,16,joint_maxabs_rad,2.012282133102417,True
real-robot(q_current),floor_box_table,16,physics,True,True
GT-targets,bottle_cupnoodles_shelf,0,joint_rmse_rad,nan,False
GT-targets,bottle_cupnoodles_shelf,0,joint_maxabs_rad,nan,False
GT-targets,bottle_cupnoodles_shelf,0,ee_wrist_err_l_m,nan,False
GT-targets,bottle_cupnoodles_shelf,0,ee_wrist_err_l_max_m,nan,False
GT-targets,bottle_cupnoodles_shelf,0,ee_wrist_err_r_m,nan,False
GT-targets,bottle_cupnoodles_shelf,0,ee_wrist_err_r_max_m,nan,False
GT-targets,bottle_cupnoodles_shelf,0,stab_fall,nan,False
GT-targets,bottle_cupnoodles_shelf,0,stab_root_roll_max_rad,nan,False
GT-targets,bottle_cupnoodles_shelf,0,stab_root_pitch_max_rad,nan,False
GT-targets,bottle_cupnoodles_shelf,0,stab_min_root_z_m,nan,False
GT-targets,bottle_cupnoodles_shelf,0,decoder_peak_abs_rad,6.283199787139893,False
GT-targets,cup_wipe_sponge_dryingrack,2,joint_rmse_rad,nan,False
GT-targets,cup_wipe_sponge_dryingrack,2,joint_maxabs_rad,nan,False
GT-targets,cup_wipe_sponge_dryingrack,2,ee_wrist_err_l_m,nan,False
GT-targets,cup_wipe_sponge_dryingrack,2,ee_wrist_err_l_max_m,nan,False
GT-targets,cup_wipe_sponge_dryingrack,2,ee_wrist_err_r_m,nan,False
